附表：
小额贷款公司分地区情况统计表
2025-6-30
机构数量 从业人员数 实收资本 贷款余额
地区名称
（家） （人） （亿元） （亿元）
全国 4974 41947 6850.15 7361.47
北京市 107 709 135.00 122.05
天津市 41 368 60.19 64.34
河北省 270 1950 175.01 177.54
山西省 143 1084 96.27 83.06
内蒙古自治区 56 425 69.92 62.44
辽宁省 250 1710 189.06 185.49
吉林省 119 845 63.78 55.31
黑龙江省 167 974 207.14 203.90
上海市 98 849 162.40 168.97
江苏省 549 4230 638.82 677.78
浙江省 245 2136 424.20 442.34
安徽省 224 1894 277.86 421.44
福建省 111 1070 292.01 361.11
江西省 81 709 108.38 92.95
山东省 213 1829 324.42 385.22
河南省 158 1411 183.34 184.98
湖北省 161 1016 193.60 177.78
湖南省 66 444 49.00 50.28
广东省 410 4938 1051.12 1175.18
广西壮族自治区 264 1973 171.44 192.39
海南省 55 396 74.72 72.46
重庆市 217 2584 1002.49 1079.24
四川省 141 2596 325.91 393.73
贵州省 62 425 24.46 19.89
云南省 126 800 69.88 67.77
西藏自治区 19 108 19.91 11.40
陕西省 244 1855 226.73 215.46
甘肃省 186 1268 111.47 100.13
青海省 45 295 27.46 30.87
宁夏回族自治区 51 553 22.97 19.37
新疆维吾尔自治区 95 503 71.21 66.60
注：由于批准设立与正式营业并具备报数条件之间存在时滞，统计口径小额贷款公司数量与各
地公布的小额贷款公司批准设立数量有差别。
