附表：
小额贷款公司分地区情况统计表
2024-12-31
机构数量 从业人员数 实收资本 贷款余额
地区名称
（家） （人） （亿元） （亿元）
全国 5257 44771 7069.39 7533.25
北京市 109 755 137.70 124.53
天津市 44 400 63.69 68.46
河北省 367 2579 224.81 227.88
山西省 156 1198 102.63 88.12
内蒙古自治区 78 612 83.56 77.15
辽宁省 277 1831 209.02 200.04
吉林省 124 882 64.88 53.59
黑龙江省 175 1018 207.14 173.65
上海市 102 895 166.70 182.48
江苏省 573 4416 662.17 720.12
浙江省 250 2178 431.30 466.98
安徽省 225 1948 278.71 388.47
福建省 112 1077 294.20 367.67
江西省 87 785 116.47 109.63
山东省 222 1933 334.38 387.19
河南省 169 1547 187.89 195.36
湖北省 184 1206 213.51 194.66
湖南省 66 449 49.00 51.75
广东省 418 5222 1061.26 1201.18
广西壮族自治区 233 1819 159.33 177.20
海南省 55 418 74.93 66.34
重庆市 221 2710 1012.86 1061.67
四川省 162 2874 353.49 401.56
贵州省 62 477 24.46 22.56
云南省 131 812 70.88 68.06
西藏自治区 19 105 19.91 11.12
陕西省 245 1902 227.33 224.58
甘肃省 196 1325 114.24 102.27
青海省 47 302 28.26 29.73
宁夏回族自治区 51 568 22.97 20.62
新疆维吾尔自治区 97 528 71.71 68.63
注：由于批准设立与正式营业并具备报数条件之间存在时滞，统计口径小额贷款公司数量与各
地公布的小额贷款公司批准设立数量有差别。
